t,echo_plus,echo_minus,echo_thermal
8.231155778894471808e+00,7.608341983020980859e-01,7.601332689345282612e-01,1.981456144457792879e-03
8.321608040201004641e+00,7.261589704003220680e-01,7.254450509008698589e-01,2.696726961488457412e-03
8.412060301507537474e+00,6.900460295771995156e-01,6.893477256462133829e-01,3.217689978669256885e-03
8.502512562814070307e+00,6.527230513474516771e-01,6.520667205882536566e-01,3.218880043071936994e-03
8.592964824120603140e+00,6.144252260026016321e-01,6.138326415568290395e-01,2.605306086934469547e-03
8.683417085427135973e+00,5.753936205290015593e-01,5.748805698401139308e-01,1.699579305289087520e-03
8.773869346733668806e+00,5.358735439363434550e-01,5.354494280858252964e-01,1.199432473332868185e-03
8.864321608040201639e+00,4.961130197535513209e-01,4.957812952540370799e-01,1.715226434293320957e-03
8.954773869346734472e+00,4.563614174961487246e-01,4.561205744069516399e-01,3.041323108838723047e-03
9.045226130653267305e+00,4.168682316670920263e-01,4.167129600878948792e-01,3.948196903030148225e-03
9.135678391959800138e+00,3.778819436190324899e-01,3.778042010513992244e-01,3.223124974581163121e-03
9.226130653266331194e+00,3.396488744887818934e-01,3.396386953742484005e-01,1.246012168242353977e-03
9.316582914572864027e+00,3.024119425453043464e-01,3.024579782999676780e-01,9.014329588059051665e-05
9.407035175879396860e+00,2.664092708404527943e-01,2.664991646647602019e-01,1.463265250896127060e-03
9.497487437185929693e+00,2.318726380151722444e-01,2.319933905769972493e-01,4.782931249507187295e-03
9.587939698492462526e+00,1.990258105225641005e-01,1.991642719109329163e-01,7.895720833018499835e-03
9.678391959798995359e+00,1.680828250084216158e-01,1.682263713455160459e-01,9.398966812918055705e-03
9.768844221105528192e+00,1.392462983342198923e-01,1.393836510761591596e-01,9.407719429913814768e-03
9.859296482412061025e+00,1.127058307494211431e-01,1.128278904324225146e-01,8.337579076003178921e-03
9.949748743718593857e+00,8.863654234474765969e-02,8.873706583405842341e-02,6.316691032807641298e-03
1.004020100502512669e+01,6.719775445707835970e-02,6.727371853976449323e-02,4.127081340692858799e-03
1.013065326633165952e+01,4.853180570278520234e-02,4.858336386397824752e-02,3.355332557523479139e-03
1.022110552763819058e+01,3.276298271438460308e-02,3.279301435080250043e-02,4.628117332627455262e-03
1.031155778894472341e+01,1.999654951185694807e-02,2.000989248274001944e-02,6.457881816925259595e-03
1.040201005025125625e+01,1.031787344956565204e-02,1.032039489267574592e-02,6.820268328423741318e-03
1.049246231155778908e+01,3.791663879460788287e-03,3.789344258921506677e-03,5.469707327126799475e-03
1.058291457286432191e+01,4.613556099678237988e-04,4.595353028770969486e-04,3.839890956655626561e-03
1.067336683417085474e+01,3.486778567836584341e-04,3.515563903476042222e-04,2.963432776616759402e-03
1.076381909547738758e+01,3.453448114745916783e-03,3.463854360750397588e-03,2.463590672570069393e-03
1.085427135678392041e+01,9.753619381843603442e-03,9.773008827402738033e-03,1.635607155283878714e-03
1.094472361809045324e+01,1.920559081482142716e-02,1.923418978908756141e-02,6.125265819064462701e-04
1.103517587939698608e+01,3.174476993879925268e-02,3.178178223836863187e-02,3.833637549233078487e-05
1.112562814070351713e+01,4.728635319653765046e-02,4.733016663457436518e-02,1.363962537395309327e-04
1.121608040201004997e+01,6.572627486711238309e-02,6.577464060611135088e-02,5.869063476478136344e-04
1.130653266331658280e+01,8.694226534621768421e-02,8.699245577229912374e-02,1.044717909937642290e-03
1.139698492462311563e+01,1.107949603440680081e-01,1.108439294270161524e-01,1.358375345616664401e-03
1.148743718592964846e+01,1.371290129997946583e-01,1.371735817354898801e-01,1.428024800313637587e-03
1.157788944723618130e+01,1.657741796668516787e-01,1.658112518855634210e-01,1.230414711925916426e-03
1.166834170854271413e+01,1.965463737719863047e-01,1.965731640119957602e-01,9.786155454772414546e-04
1.175879396984924696e+01,2.292487057830668584e-01,2.292629425136899490e-01,9.987330432824380929e-04
1.184924623115577980e+01,2.636725453802788999e-01,2.636726081104521779e-01,1.392645459485044278e-03
